Timestamp,Cooling,Energy,Power IT,HVAC,Pumps,Plug & Light,PUE,Energy Reuse
Sun Jun 12 2016 01:04:17 GMT-0600 (Mountain Daylight Time),"0,11172486","12,09092334","61,16246904","0,10071803","0,06167878","0,14109147","0,00738848","12,09092334",
Sun Jun 12 2016 01:05:16 GMT-0600 (Mountain Daylight Time),"0,11172486","12,09092334","61,1178845","0,10071803","0,06167878","0,14109147","0,00739424","12,09092334",
Sun Jun 12 2016 01:06:17 GMT-0600 (Mountain Daylight Time),"0,10972531","12,17307803","61,25518655","0,1032044","0,06258171","0,14041807","0,00736887","12,17307803",
Sun Jun 12 2016 01:07:16 GMT-0600 (Mountain Daylight Time),"0,10972531","12,17307803","61,14874256","0,1032044","0,06258171","0,14041807","0,00738258","12,17307803",
Sun Jun 12 2016 01:08:19 GMT-0600 (Mountain Daylight Time),"0,11297458","12,19551995","61,24670436","0,09785672","0,06288068","0,14041807","0,00746693","12,19551995",
Sun Jun 12 2016 01:09:17 GMT-0600 (Mountain Daylight Time),"0,11297458","12,19551995","62,96903305","0,09785672","0,06288068","0,14041807","0,00724882","12,19551995",
Sun Jun 12 2016 01:10:17 GMT-0600 (Mountain Daylight Time),"0,11097503","12,36521481","62,14238597","0,10401346","0,06183052","0,14041807","0,00725962","12,36521481",
Sun Jun 12 2016 01:11:17 GMT-0600 (Mountain Daylight Time),"0,11097503","12,36521481","61,07376712","0,10401346","0,06183052","0,14041807","0,00739551","12,36521481",
Sun Jun 12 2016 01:12:15 GMT-0600 (Mountain Daylight Time),"0,10947537","12,1946886","60,80357241","0,10377666","0,06242997","0,14041807","0,00741369","12,1946886",
Sun Jun 12 2016 01:13:17 GMT-0600 (Mountain Daylight Time),"0,10947537","12,1946886","60,74812802","0,10377666","0,06242997","0,14041807","0,00742091","12,1946886",
Sun Jun 12 2016 01:14:16 GMT-0600 (Mountain Daylight Time),"0,10847559","12,46810383","61,28145252","0,10298734","0,06273195","0,14041807","0,00733306","12,46810383",
Sun Jun 12 2016 01:15:17 GMT-0600 (Mountain Daylight Time),"0,10847559","12,46810383","60,85249654","0,10298734","0,06273195","0,14041807","0,00738832","12,46810383",
Sun Jun 12 2016 01:16:17 GMT-0600 (Mountain Daylight Time),"0,11047514","12,50728122","61,94553622","0,10442786","0,06212949","0,13974467","0,00728398","12,50728122",
Sun Jun 12 2016 01:17:16 GMT-0600 (Mountain Daylight Time),"0,11047514","12,50728122","61,82684435","0,10442786","0,06212949","0,13974467","0,00729894","12,50728122",
Sun Jun 12 2016 01:18:20 GMT-0600 (Mountain Daylight Time),"0,10897548","12,55992667","62,08597972","0,1039148","0,06107783","0,13974467","0,00716307","12,55992667",
Sun Jun 12 2016 01:19:17 GMT-0600 (Mountain Daylight Time),"0,10897548","12,55992667","61,10626707","0,1039148","0,06107783","0,13974467","0,00728605","12,55992667",
Sun Jun 12 2016 01:20:16 GMT-0600 (Mountain Daylight Time),"0,10947537","12,38142954","61,04267804","0,096949","0,06107783","0,14041807","0,00728394","12,38142954",
Sun Jun 12 2016 01:21:16 GMT-0600 (Mountain Daylight Time),"0,10947537","12,38142954","61,30119233","0,06734929","0,06102073","0,14041807","0,00712975","12,38142954",
Sun Jun 12 2016 01:22:16 GMT-0600 (Mountain Daylight Time),"0,11372441","12,34437267","61,36556933","0,10089563","0,06287918","0,14041807","0,00748718","12,34437267",
Sun Jun 12 2016 01:23:18 GMT-0600 (Mountain Daylight Time),"0,11372441","12,34437267","61,27489266","0,10089563","0,06287918","0,14041807","0,00749901","12,34437267",
Sun Jun 12 2016 01:24:17 GMT-0600 (Mountain Daylight Time),"0,11097503","12,40441015","62,30885043","0,10105349","0,06317966","0,14041807","0,00729692","12,40441015",
Sun Jun 12 2016 01:25:17 GMT-0600 (Mountain Daylight Time),"0,11097503","12,40441015","62,29638726","0,10105349","0,06317966","0,14041807","0,00729849","12,40441015",
Sun Jun 12 2016 01:26:15 GMT-0600 (Mountain Daylight Time),"0,11147492","12,42881387","61,27316677","0,10430946","0,06152854","0,13974467","0,007369","12,42881387",
Sun Jun 12 2016 01:27:17 GMT-0600 (Mountain Daylight Time),"0,11147492","12,42881387","61,49210685","0,10430946","0,06152854","0,13974467","0,00734096","12,42881387",
Sun Jun 12 2016 01:28:19 GMT-0600 (Mountain Daylight Time),"0,11072509","12,29192652","61,90362793","0,10296761","0,06287768","0,14109147","0,00733395","12,29192652",
Sun Jun 12 2016 01:29:18 GMT-0600 (Mountain Daylight Time),"0,11072509","12,29192652","61,39224045","0,10296761","0,06287768","0,14109147","0,00739926","12,29192652",
Sun Jun 12 2016 01:30:18 GMT-0600 (Mountain Daylight Time),"0,10897548","12,37372485","61,51154356","0,1034412","0,06122957","0,14109147","0,00724453","12,37372485",
Sun Jun 12 2016 01:31:20 GMT-0600 (Mountain Daylight Time),"0,10897548","12,37372485","61,71061198","0,1034412","0,06122957","0,14109147","0,00721952","12,37372485",
Sun Jun 12 2016 01:32:16 GMT-0600 (Mountain Daylight Time),"0,11047514","11,92814337","62,72154054","0,09996817","0,06183052","0,14041807","0,00715667","11,92814337",
Sun Jun 12 2016 01:33:15 GMT-0600 (Mountain Daylight Time),"0,11047514","11,92814337","62,31256065","0,09996817","0,06183052","0,14041807","0,00720697","11,92814337",
Sun Jun 12 2016 01:34:17 GMT-0600 (Mountain Daylight Time),"0,1102252","12,05942366","61,01872354","0,10205988","0,06212949","0,14041807","0,00738679","12,05942366",
Sun Jun 12 2016 01:35:18 GMT-0600 (Mountain Daylight Time),"0,1102252","12,05942366","60,82599196","0,10205988","0,06212949","0,14041807","0,0074118","12,05942366",
Sun Jun 12 2016 01:36:15 GMT-0600 (Mountain Daylight Time),"0,11147492","11,92067367","61,19831114","0,09906044","0,06152854","0,14109147","0,00736141","11,92067367",
Sun Jun 12 2016 01:37:16 GMT-0600 (Mountain Daylight Time),"0,11147492","11,92067367","61,32107122","0,09906044","0,06152854","0,14109147","0,00734566","11,92067367",
Sun Jun 12 2016 01:38:17 GMT-0600 (Mountain Daylight Time),"0,10897548","12,15238729","61,09011672","0,10399373","0,06212949","0,13974467","0,00734384","12,15238729",
Sun Jun 12 2016 01:39:17 GMT-0600 (Mountain Daylight Time),"0,10847559","12,27620806","62,17657899","0,103974","0,06273044","0,13974467","0,00722213","12,27620806",
Sun Jun 12 2016 01:40:16 GMT-0600 (Mountain Daylight Time),"0,11122498","12,16006101","62,20131099","0,10346093","0,06378211","0,14176487","0,00736259","12,16006101",
Sun Jun 12 2016 01:41:17 GMT-0600 (Mountain Daylight Time),"0,11122498","12,16006101","62,54165592","0,10346093","0,06378211","0,14176487","0,00731976","12,16006101",
Sun Jun 12 2016 01:42:16 GMT-0600 (Mountain Daylight Time),"0,11322452","12,13909143","61,49140834","0,10196122","0,06032663","0,14041807","0,00732571","12,13909143",
Sun Jun 12 2016 01:43:16 GMT-0600 (Mountain Daylight Time),"0,11322452","12,13909143","61,59753369","0,10196122","0,06032663","0,14041807","0,00731222","12,13909143",
Sun Jun 12 2016 01:44:17 GMT-0600 (Mountain Daylight Time),"0,10947537","12,07842511","61,58321368","0,10298931","0,06273195","0,13974467","0,00732418","12,07842511",
Sun Jun 12 2016 01:45:18 GMT-0600 (Mountain Daylight Time),"0,10947537","12,07842511","61,34581217","0,10298931","0,06273195","0,13974467","0,00735448","12,07842511",
Sun Jun 12 2016 01:46:17 GMT-0600 (Mountain Daylight Time),"0,10897548","12,21621231","62,1601438","0,10190202","0,06213099","0,14041807","0,00720239","12,21621231",
Sun Jun 12 2016 01:47:15 GMT-0600 (Mountain Daylight Time),"0,10897548","12,21621231","63,11863075","0,10190202","0,06213099","0,14041807","0,00708532","12,21621231",
Sun Jun 12 2016 01:48:17 GMT-0600 (Mountain Daylight Time),"0,10747582","12,2136458","62,2567433","0,10237759","0,06242997","0,14041807","0,00716115","12,2136458",
Sun Jun 12 2016 01:49:18 GMT-0600 (Mountain Daylight Time),"0,11097503","12,11478897","61,57087671","0,10431143","0,06122656","0,14041807","0,00730132","12,11478897",
Sun Jun 12 2016 01:50:17 GMT-0600 (Mountain Daylight Time),"0,11147492","12,23371508","61,45469566","0,09908215","0,06122506","0,13907127","0,00730711","12,23371508",
Sun Jun 12 2016 01:51:17 GMT-0600 (Mountain Daylight Time),"0,11147492","12,23371508","61,57556768","0,09908215","0,06122506","0,13907127","0,00729177","12,23371508",
Sun Jun 12 2016 01:52:16 GMT-0600 (Mountain Daylight Time),"0,10997526","12,12569709","61,90522713","0,09817245","0,06122957","0,14041807","0,00720375","12,12569709",
Sun Jun 12 2016 01:53:17 GMT-0600 (Mountain Daylight Time),"0,10997526","12,12569709","61,52054646","0,09817245","0,06122957","0,14041807","0,00725196","12,12569709",
Sun Jun 12 2016 01:54:17 GMT-0600 (Mountain Daylight Time),"0,10947537","12,13126754","61,97138384","0,10334254","0,06197925","0,14109147","0,00724117","12,13126754",
Sun Jun 12 2016 01:55:17 GMT-0600 (Mountain Daylight Time),"0,10947537","12,13126754","62,36251172","0,10334254","0,06197925","0,14109147","0,00719257","12,13126754",
Sun Jun 12 2016 01:56:17 GMT-0600 (Mountain Daylight Time),"0,10822565","12,09027488","62,30877755","0,10188426","0,06468354","0,13974467","0,00729065","12,09027488",
Sun Jun 12 2016 01:57:15 GMT-0600 (Mountain Daylight Time),"0,10822565","12,09027488","61,29638325","0,10188426","0,06468354","0,13974467","0,00741944","12,09027488",
Sun Jun 12 2016 01:58:17 GMT-0600 (Mountain Daylight Time),"0,10547627","11,98998047","61,14842899","0,10233812","0,0613783","0,13974467","0,00717945","11,98998047",
Sun Jun 12 2016 01:59:17 GMT-0600 (Mountain Daylight Time),"0,11097503","12,02043466","61,10335172","0,10431143","0,06227973","0,13974467","0,00741465","12,02043466",
Sun Jun 12 2016 02:00:16 GMT-0600 (Mountain Daylight Time),"0,11097503","11,95958865","61,38747085","0,10020497","0,06318116","0,13907127","0,00740697","11,95958865",
Sun Jun 12 2016 02:01:17 GMT-0600 (Mountain Daylight Time),"0,11097503","11,95958865","61,46954468","0,10020497","0,06318116","0,13907127","0,0073964","11,95958865",
Sun Jun 12 2016 02:02:17 GMT-0600 (Mountain Daylight Time),"0,11172486","11,71874109","62,1398435","0,09993067","0,06408259","0,14041807","0,00738384","11,71874109",
Sun Jun 12 2016 02:03:17 GMT-0600 (Mountain Daylight Time),"0,11172486","11,71874109","62,29161346","0,09993067","0,06408259","0,14041807","0,00736462","11,71874109",
Sun Jun 12 2016 02:04:16 GMT-0600 (Mountain Daylight Time),"0,10947537","11,97795176","61,26954026","0,10474556","0,06438306","0,14109147","0,00746183","11,97795176",
Sun Jun 12 2016 02:05:16 GMT-0600 (Mountain Daylight Time),"0,10947537","11,97795176","61,24464428","0,10474556","0,06438306","0,14109147","0,00746507","11,97795176",
Sun Jun 12 2016 02:06:15 GMT-0600 (Mountain Daylight Time),"0,1102252","11,66153216","61,16401461","0,10367997","0,06308651","0,13974467","0,007423","11,66153216",
Sun Jun 12 2016 02:07:18 GMT-0600 (Mountain Daylight Time),"0,1102252","11,66153216","61,21029201","0,10367997","0,06308651","0,13974467","0,007417","11,66153216",
Sun Jun 12 2016 02:08:17 GMT-0600 (Mountain Daylight Time),"0,10922542","11,91674976","61,28223106","0,10269331","0,06402399","0,13974467","0,00742143","11,91674976",
Sun Jun 12 2016 02:09:17 GMT-0600 (Mountain Daylight Time),"0,10922542","11,91674976","61,99854511","0,10269331","0,06402399","0,13974467","0,00732983","11,91674976",
Sun Jun 12 2016 02:10:16 GMT-0600 (Mountain Daylight Time),"0,1079757","11,88495608","62,38020468","0,1047653","0,06489688","0,14041807","0,00729816","11,88495608",
Sun Jun 12 2016 02:11:18 GMT-0600 (Mountain Daylight Time),"0,1079757","11,88495608","61,95756717","0,1047653","0,06489688","0,14041807","0,0073514","11,88495608",
Sun Jun 12 2016 02:12:16 GMT-0600 (Mountain Daylight Time),"0,10897548","11,88820353","60,99802766","0,10273278","0,06543173","0,13974467","0,00752489","11,88820353",
Sun Jun 12 2016 02:13:18 GMT-0600 (Mountain Daylight Time),"0,10897548","11,88820353","61,26748147","0,10273278","0,06543173","0,13974467","0,00748957","11,88820353",
Sun Jun 12 2016 02:14:17 GMT-0600 (Mountain Daylight Time),"0,11147492","11,87679272","61,1407757","0,09997014","0,06628358","0,14176487","0,00762471","11,87679272",
Sun Jun 12 2016 02:15:18 GMT-0600 (Mountain Daylight Time),"0,11147492","11,87679272","61,03306325","0,09997014","0,06628358","0,14176487","0,00763906","11,87679272",
Sun Jun 12 2016 02:16:16 GMT-0600 (Mountain Daylight Time),"0,11147492","11,8825834","61,04576954","0,10358131","0,06695665","0,14041807","0,00768355","11,8825834",
Sun Jun 12 2016 02:17:17 GMT-0600 (Mountain Daylight Time),"0,11147492","11,8825834","61,94693025","0,10358131","0,06695665","0,14041807","0,0075644","11,8825834",
Sun Jun 12 2016 02:18:17 GMT-0600 (Mountain Daylight Time),"0,10897548","12,12768088","61,94085139","0,1041733","0,06752905","0,14109147","0,00752108","12,12768088",
Sun Jun 12 2016 02:19:17 GMT-0600 (Mountain Daylight Time),"0,10897548","12,12768088","61,4401262","0,1041733","0,06752905","0,14109147","0,00758651","12,12768088",
Sun Jun 12 2016 02:20:17 GMT-0600 (Mountain Daylight Time),"0,10847559","12,08789461","61,06013381","0,1007792","0,0669266","0,13974467","0,00757185","12,08789461",
Sun Jun 12 2016 02:21:17 GMT-0600 (Mountain Daylight Time),"0,10847559","12,08789461","61,28459355","0,1007792","0,0669266","0,13974467","0,00754226","12,08789461",
Sun Jun 12 2016 02:22:17 GMT-0600 (Mountain Daylight Time),"0,10722588","12,15783963","61,18303593","0,10373917","0,0669281","0,14041807","0,00752993","12,15783963",
Sun Jun 12 2016 02:23:18 GMT-0600 (Mountain Daylight Time),"0,10722588","12,15783963","61,13159071","0,10373917","0,0669281","0,14041807","0,00753669","12,15783963",
Sun Jun 12 2016 02:24:15 GMT-0600 (Mountain Daylight Time),"0,10997526","12,2112353","61,97282186","0,10472583","0,06843348","0,13974467","0,00759357","12,2112353",
Sun Jun 12 2016 02:25:17 GMT-0600 (Mountain Daylight Time),"0,10997526","12,2112353","62,00998037","0,10472583","0,06843348","0,13974467","0,00758872","12,2112353",
Sun Jun 12 2016 02:26:17 GMT-0600 (Mountain Daylight Time),"0,1102252","12,26206681","61,94117643","0,10188426","0,0688842","0,13974467","0,0076177","12,26206681",
Sun Jun 12 2016 02:27:17 GMT-0600 (Mountain Daylight Time),"0,1102252","12,26206681","61,01078577","0,10188426","0,0688842","0,13974467","0,0077416","12,26206681",
Sun Jun 12 2016 02:28:16 GMT-0600 (Mountain Daylight Time),"0,10897548","12,16744724","61,07797558","0,10504156","0,06846504","0,13907127","0,00768161","12,16744724",
Sun Jun 12 2016 02:29:17 GMT-0600 (Mountain Daylight Time),"0,10897548","12,16744724","61,17352619","0,10504156","0,06846504","0,13907127","0,00766882","12,16744724",
Sun Jun 12 2016 02:30:18 GMT-0600 (Mountain Daylight Time),"0,10922542","12,32466197","61,24600936","0,10462716","0,06965793","0,13974467","0,00772997","12,32466197",
Sun Jun 12 2016 02:31:23 GMT-0600 (Mountain Daylight Time),"0,10922542","12,32466197","61,08035028","0,10462716","0,06965793","0,13974467","0,00775231","12,32466197",
Sun Jun 12 2016 02:32:17 GMT-0600 (Mountain Daylight Time),"0,10972531","12,37735179","61,79386845","0,10279198","0,06930938","0,13974467","0,00764716","12,37735179",
Sun Jun 12 2016 02:33:15 GMT-0600 (Mountain Daylight Time),"0,10972531","12,37735179","61,11520371","0,10279198","0,06930938","0,13974467","0,00773771","12,37735179",
Sun Jun 12 2016 02:34:16 GMT-0600 (Mountain Daylight Time),"0,1119748","12,19800163","62,01870554","0,09929921","0,06782652","0,14109147","0,00760076","12,19800163",
Sun Jun 12 2016 02:35:17 GMT-0600 (Mountain Daylight Time),"0,1119748","12,19800163","62,18782401","0,09929921","0,06782652","0,14109147","0,00757871","12,19800163",
Sun Jun 12 2016 02:36:17 GMT-0600 (Mountain Daylight Time),"0,10922542","12,24811875","61,16362384","0,1046469","0,06947313","0,13907127","0,00772952","12,24811875",
Sun Jun 12 2016 02:37:16 GMT-0600 (Mountain Daylight Time),"0,10922542","12,24811875","61,26290265","0,1046469","0,06947313","0,13907127","0,00771618","12,24811875",
Sun Jun 12 2016 02:38:18 GMT-0600 (Mountain Daylight Time),"0,10922542","12,2700294","61,14741026","0,10271305","0,06782502","0,13974467","0,00763909","12,2700294",
